,index,count,cum_sum,cum_percent
494,Wahlbuffet Aktionstheke,599,4194894,96.68318734840292
495,MG Nord 14:30-21:00,597,4195491,96.69694690057445
496,Abendessen 2,595,4196086,96.7106603570938
497,Classic 3,593,4196679,96.72432771796099
498,Aktionstheke - WOK/Grill,592,4197271,96.7379720310021
499,"Veganes Wochenangebot, pro 100g",587,4197858,96.75150110491279
500,xXx Cafeteria Ring xXx,586,4198444,96.76500713099739
501,Theke 1 - Eintopf,583,4199027,96.77844401360375
502,Theke 1 - Vegetarisch,583,4199610,96.7918808962101
503,Theke 3 - Empfehlung des Tages,582,4200192,96.80529473099038
504,Salat Büffet,576,4200768,96.81857027881416
505,Gourmet,575,4201343,96.83182277881185
506,Tellergericht   ,574,4201917,96.84505223098347
507,Front Cooking/ Wok,570,4202487,96.85818949185075
508,Menü II Vegetaria,570,4203057,96.87132675271803
509,Gabel,559,4203616,96.88421048749841
510,Beilagenbuffet,555,4204171,96.89700203097443
511,WOK/Grill,553,4204724,96.90974747879831
512,Vegetaria**,552,4205276,96.9224698787961
513,Menüvorschlag,551,4205827,96.9351692309678
514,WOK 1 - vegan,543,4206370,96.94768420053083
515,Schwein Geflügel,543,4206913,96.96019917009387
516,Frontcooking,540,4207453,96.97264499617867
517,Aktion Lahnberge,540,4207993,96.98509082226346
518,Leichte Küche,537,4208530,96.99746750487
519,Schnitzel- Woche,536,4209066,97.00982113965047
520,Menu 3,536,4209602,97.02217477443092
521,Turm vegetarisch,531,4210133,97.03441317008097
522,Salatbuffet / Theke 3,530,4210663,97.04662851790494
523,Dauer-Spezial,524,4211187,97.0587055787724
524,Regionale Linie,524,4211711,97.07078263963986
525,Fleischlos Abend,523,4212234,97.08283665268125
526,Fleischgericht Abend,521,4212755,97.09484457007046
527,Vollwert  &  Co. Gemüse,519,4213274,97.10680639180751
528,Grüne Mensa,515,4213789,97.11867602224024
529,xXx Cafeteria SB xXx,509,4214298,97.13040736571645
530,Linie 1To-Go,508,4214806,97.14211566136659
531,Essen I Drehkreuz/Ampel,507,4215313,97.15380090919065
532, Dessert 3 ,505,4215818,97.16544006136253
533,Essen Mittagsmensa Bu,505,4216323,97.17707921353443
