,index,count,cum_sum,cum_percent,meal_super_category
1986,"Kräuterquark mit Butter, Petersilienkartoffeln und Salat (Leberwurst extra",1,4369576,99.98926785,
1987,Ausgabe an der kleinen Pastatheke,1,4369577,99.98929073,
1988,Österreich,1,4369578,99.98931361,
1989,Niederlande,1,4369579,99.98933649,
1990,[pizza]werk Pasta,1,4369580,99.98935938,
1991,xSättigungsbeilagen,1,4369581,99.98938226,
1992,Pizza mit Festpreis klein/groß,1,4369582,99.98940514,
1993,"Hausgemachte Pasta, heute Fussili mit Tomaten-Olivenpesto und Mozzarella oder Gouda (vegane Alternative statt Käse",1,4369583,99.98942803,
1994,"Hausgemachte Pasta, heute Amori mit Champignons, Wirsingkohl und Mozarella (vegane Alternative statt Käse",1,4369584,99.98945091,
1995,Abendangebot 2,1,4369585,99.98947379,
1996,Thailand,1,4369586,99.98949668,
1997,Eintopf vegetarisch.,1,4369587,99.98951956,
1998,Cremiger Blattspinat mit Falafelbällchen und Petersilienkartoffeln (oder vegetarisch,1,4369588,99.98954244,
1999,"Hausgemachte Pasta, heute Linguine mit 9-Kräuterpesto (vegan), wahlweise ",1,4369589,99.98956532,
2000,Ausgabe 2 crazy friesday - canadian streetfood,1,4369590,99.98958821,
2001,Ausgabe 1 Mensaessen To-Go an der Ausgabe1,1,4369591,99.98961109,
2002,xGemüsebeilagen,1,4369592,99.98963397,
2003,Ausgabe 1 Mensaessen To-Go an der Ausgabe1 Fleischlose Alternative,1,4369593,99.98965686,
2004,Ausgabe 1 Mensaessen To-Go der Ausgabe 1,1,4369594,99.98967974,
2005,Ausgabe 2 American BBQ Fleischlose Alternative,1,4369595,99.98970262,
2006,Ausgabe 1 Mensaessen To-Go der Ausgabe 1 Fleischlose Alternative,1,4369596,99.98972551,
2007,"Tagessuppe 1,00 â¬",1,4369597,99.98974839,
2008,Ausgabe 2 Weihnachtsessen,1,4369598,99.98977127,
2009,Ausgabe 2 Weihnachtsessen Fleischlose Alternative,1,4369599,99.98979416,
2010,Ausgabe Wok,1,4369600,99.98981704,
2011,Ausgabe Grill,1,4369601,99.98983992,
2012,"Ausgabe am Essen ""fertig 1""",1,4369602,99.9898628,
2013,Foodhopper ab circa 15:00 Uhr auf dem Campusgelände,1,4369603,99.98988569,
2014,"An der Ausgabe ""fertig 1""",1,4369604,99.98990857,
2015,Heute im Foodhopper!!,1,4369605,99.98993145,
2016,Ausgabe 2 American BBQ,1,4369606,99.98995434,
2017,Eintopf vegetarisch 1,1,4369607,99.98997722,
2018,Snack,1,4369608,99.9900001,
2019,Angrgot 2,1,4369609,99.99002299,
2020,Speisenangebot4,1,4369610,99.99004587,
2021,Land England,1,4369611,99.99006875,
2022,Delicious take away #DÖNER Fleischlose Alternative,1,4369612,99.99009164,
2023,Delicious take away #DÖNER,1,4369613,99.99011452,
